Date,Asset,Type,Q_0_005,Q_0_01,Q_0_025,Q_0_05,Q_0_95,Q_0_975,Q_0_99,Q_0_995,CTE_0_005,CTE_0_01,CTE_0_025,CTE_0_05,CTE_0_95,CTE_0_975,CTE_0_99,CTE_0_995,FIGARCH_d,Stable_alpha,Stable_gamma,Variance,Skewness,Kurtosis,ACF_Lag1,Hurst
2019-12-06,JKHY US Equity,Stock,-0.034493089249520645,-0.02848791302302139,-0.021632354880255306,-0.015865583692024197,0.015975846046272075,0.018562135887970576,0.025712603833274533,0.02918419502755444,-0.042202019780188414,-0.03687685910008251,-0.0302365349137776,-0.024335920436784134,0.021987279999263788,0.026838016076264674,0.03433144769602809,0.04034568365798944,0.2000002899227594,1.601,0.005655118939579792,0.00010523019362475056,-0.2067515307977163,4.464152845356986,-0.018076644815012036,0.5410451542113864
2019-12-06,J US Equity,Stock,-0.04934606463874586,-0.040650921160697365,-0.03156271141116946,-0.023292257338514918,0.024052754753579694,0.030851955101616077,0.042000025074141065,0.05138323196670895,-0.06462689519323293,-0.05518917347617303,-0.04358320096734988,-0.03545682410855269,0.03699819102571945,0.04690216284461317,0.061832159513969746,0.07409391076998184,0.2000510610317555,1.553,0.008066511060105077,0.0002460079412365791,0.10188322078752496,6.185327317729625,0.051700406161094094,0.5240399499856135
2019-12-06,JNJ US Equity,Stock,-0.041345957727178834,-0.029928916258362463,-0.019872006277520622,-0.014901413414481795,0.015297038771268916,0.018475941829748786,0.02597111787881511,0.029637547364068983,-0.05641618646953327,-0.045611780123207886,-0.03326099582665607,-0.02511836741041083,0.02119716186302059,0.025637593805962217,0.03235280630081117,0.036433946249415976,0.20000032364715217,1.518,0.0050826001777750955,0.00010352839703376107,-1.373409927705123,13.096395066454622,0.0021175182473730622,0.5119916002444816
2019-12-06,JCI US Equity,Stock,-0.044614952552385775,-0.03768447454618577,-0.028142472389959507,-0.0227569473344712,0.019823338533162947,0.02569412684368589,0.03186055224273459,0.04218380395540498,-0.05703743251197341,-0.04943523010968373,-0.03961313431788839,-0.032436815532164584,0.029896811207130797,0.0371176569209143,0.04859684842231838,0.059831646841821594,0.20000011761032543,1.607,0.007580059836136139,0.0001918146375065587,0.052360058176368435,5.4564951383341835,0.019671070227401877,0.5517768780130976
2019-12-06,JNPR US Equity,Stock,-0.07014206019123398,-0.05263881465436608,-0.03290809686491854,-0.026130446295045448,0.021150199448901213,0.028957613116764383,0.04076343406731981,0.050312725948964465,-0.08994752143073918,-0.07690376762860195,-0.055775293589571624,-0.04262608877310584,0.03388701614740801,0.04323495117025232,0.05652166185763549,0.06581984711991057,0.2024248080388714,1.457,0.00747296959530773,0.00027234689627117736,-1.2378560315485325,12.750214307484082,-0.03962721202997131,0.4597145732591364
2019-12-06,KGF LN Equity,Stock,-0.06535579294390065,-0.04937506166851872,-0.03533441381712219,-0.02801660904453276,0.023108611162936943,0.02965235367308406,0.035836113777575354,0.0442444553373265,-0.07743031556268402,-0.06745760013844143,-0.05152331343338472,-0.04134292037425999,0.03292906497994243,0.039511739327500545,0.04871757328286909,0.056560925141607446,0.20029584581780963,1.5,0.008388898908384136,0.00026342798089347863,-0.6823805916493155,4.603843036877779,0.03962418897799997,0.48341029755707193
2019-12-06,KLAC US Equity,Stock,-0.058648065226917935,-0.05316814266583822,-0.03851638165805894,-0.029214107636722088,0.025811791177774313,0.03436460877119206,0.0476607406522179,0.061214226005096184,-0.07662589681257018,-0.0668437514941444,-0.05466356613749833,-0.04394846701588909,0.04113588665621777,0.05244204092662933,0.07127457210227713,0.08657179896248013,0.2000013959747114,1.453,0.008572447280718811,0.0003336762276803912,0.24142105461709187,9.79062418829677,-0.03948715017717191,0.5431176944457526
2019-12-06,KNEBV FH Equity,Stock,-0.046084253934464456,-0.04027745315526457,-0.029443714323318645,-0.02243667220172807,0.02214763971942881,0.02812580832767125,0.03659285267959021,0.04086305140071627,-0.05473727672419604,-0.04913841552150996,-0.04048245929040773,-0.033094894825518306,0.031485608776639515,0.03806376554077041,0.04607354433408135,0.05253051127025329,0.21941321363443758,1.473,0.007179314926499344,0.0001906558179571032,-0.13313027141239273,3.028462810060459,0.027277833358568572,0.4611653757416675
2019-12-06,K US Equity,Stock,-0.039318864919981544,-0.03251479877024233,-0.025165501516568906,-0.01985910330253996,0.01844629787129724,0.024190047969375558,0.03139934747231909,0.03931755124484257,-0.05297699434762469,-0.04486219344730757,-0.03493742288656222,-0.028708306105738848,0.028117054211282716,0.034767061233989476,0.04531807139133175,0.05516597053015519,0.20000009768957816,1.437,0.005872643689251592,0.00014877508585482872,-0.06489991391679464,7.134091421508389,0.008948986492015228,0.5484740697472236
2019-12-06,KER FP Equity,Stock,-0.057086117121157465,-0.04626022008316339,-0.035873447312536805,-0.025479729646565193,0.029526524174487923,0.03749605479355411,0.053995286957516195,0.06004849791499083,-0.07677758472445859,-0.06610351485712251,-0.05073387958954896,-0.04027063531958836,0.04364625495431043,0.054606274141743766,0.06972654949323578,0.08148307962638635,0.20000449324036007,1.551,0.009411445460247716,0.00032102317529806337,0.1002201386743405,4.652562893974806,-0.04364546699587113,0.6008108790864951
